time,condition_type,condition_value,area_bin,frequency
day5,cn_ratio,3,3150,0.009192295
day5,cn_ratio,3,3250,0.008178439
day5,cn_ratio,3,3350,0.006150727
day5,cn_ratio,3,3450,0.005339642
day5,cn_ratio,4,550,0.040487334
day5,cn_ratio,4,650,0.048659089
day5,cn_ratio,4,750,0.049104821
day5,cn_ratio,4,850,0.051482059
day5,cn_ratio,4,950,0.057053711
day5,cn_ratio,4,1050,0.076591635
day5,cn_ratio,4,1150,0.09211797
day5,cn_ratio,4,1250,0.103335562
day5,cn_ratio,4,1350,0.096055271
day5,cn_ratio,4,1450,0.095163807
day5,cn_ratio,4,1550,0.08364906
day5,cn_ratio,4,1650,0.062848228
day5,cn_ratio,4,1750,0.049327687
day5,cn_ratio,4,1850,0.03276131
day5,cn_ratio,4,1950,0.017754996
day5,cn_ratio,4,2050,0.010846148
day5,cn_ratio,4,2150,0.007428869
day5,cn_ratio,4,2250,0.00341728
day5,cn_ratio,4,2350,0.002897259
day5,cn_ratio,4,2450,0.002228661
day5,cn_ratio,4,2550,0.002302949
day5,cn_ratio,4,2650,0.001857217
day5,cn_ratio,4,2750,0.002154372
day5,cn_ratio,4,2850,0.00111433
day5,cn_ratio,4,2950,0.00170864
day5,cn_ratio,4,3050,0.001485774
day5,cn_ratio,4,3150,0.002228661
day5,cn_ratio,4,3250,0.001857217
day5,cn_ratio,4,3350,0.000965753
day5,cn_ratio,4,3450,0.00111433
day5,cn_ratio,5,550,0.007296703
day5,cn_ratio,5,650,0.010285714
day5,cn_ratio,5,750,0.014417582
day5,cn_ratio,5,850,0.01810989
day5,cn_ratio,5,950,0.020835165
